STATE,PC_NO,PC_NAME,PC_TYPE,AC_NO,AC_NAME,AC_TYPE,18-19 Male,18-19 Female,18-19 Others,Above 18 Male,Above 18 Female,Above 18 Others,Gender Ratio Roll,Electors with EPIC,Electors with Photo
BIHAR,1,VALMIKI NAGAR,,1,VALMIKI NAGAR,,1947,972,0,145532,122046,2,839,242987,267685
BIHAR,1,VALMIKI NAGAR,,2,RAMNAGAR,SC,1543,1109,0,124885,111431,1,892,219007,236317
BIHAR,1,VALMIKI NAGAR,,3,NARKATIAGANJ,,2671,1876,1,118791,101595,14,855,206645,220400
BIHAR,1,VALMIKI NAGAR,,4,BAGAHA,,4151,2953,1,138102,117954,10,854,230888,256067
BIHAR,1,VALMIKI NAGAR,,5,LAURIYA,,2415,1577,0,113658,94503,4,831,195386,208165
BIHAR,2,PASCHIM CHAMPARAN,,6,NAUTAN,,2723,1281,3,117759,97825,13,831,200377,215597
BIHAR,2,PASCHIM CHAMPARAN,,7,CHANPATIA,,2618,1313,1,120408,101171,10,840,199108,221589
BIHAR,2,PASCHIM CHAMPARAN,,8,BETTIAH,,2707,1504,1,118357,101700,4,859,199226,220061
BIHAR,1,VALMIKI NAGAR,,9,SIKTA,,2310,1669,1,117612,104141,6,885,206009,221759
BIHAR,2,PASCHIM CHAMPARAN,,10,RAXAUL,,3830,2203,0,129366,109034,5,843,222766,238403
BIHAR,2,PASCHIM CHAMPARAN,,11,SUGAULI,,3996,2153,2,128028,109595,5,856,209653,237630
BIHAR,2,PASCHIM CHAMPARAN,,12,NARKATIA,,2087,1292,1,125166,107633,1,860,219374,232800
BIHAR,3,PURVI CHAMPARAN,,13,HARSIDHI,SC,3375,1581,0,115413,100012,1,867,197242,215426
BIHAR,3,PURVI CHAMPARAN,,14,GOVINDGANJ,,2782,1566,1,122553,101492,3,828,204234,224048
BIHAR,3,PURVI CHAMPARAN,,15,KESARIA,,2669,1602,0,118753,100124,2,843,197322,218880
BIHAR,3,PURVI CHAMPARAN,,16,KALYANPUR,,2767,1799,3,115365,97961,8,849,191621,213334
BIHAR,3,PURVI CHAMPARAN,,17,PIPRA,,5768,4375,4,151708,129716,14,855,255038,281438
BIHAR,4,SHEOHAR,,18,MADHUBAN,,2562,1674,2,111937,97642,27,872,190809,209606
BIHAR,3,PURVI CHAMPARAN,,19,MOTIHARI,,4075,2267,2,142800,120286,6,842,234744,263094
BIHAR,4,SHEOHAR,,20,CHIRAIA,,2867,1412,5,132388,113848,9,860,220552,246245
BIHAR,4,SHEOHAR,,21,DHAKA,,3241,2437,4,138318,123650,11,894,239118,261979
BIHAR,4,SHEOHAR,,22,SHEOHAR,,3193,2637,1,136613,119591,5,875,230774,256203
BIHAR,4,SHEOHAR,,23,RIGA,,4262,4231,2,142246,125281,16,881,236543,267545
BIHAR,5,SITAMARHI,,24,BATHNAHA,SC,3301,3637,4,138385,125901,13,910,237326,264300
BIHAR,5,SITAMARHI,,25,PARIHAR,,4552,5947,4,140316,127837,14,911,226013,268169
BIHAR,5,SITAMARHI,,26,SURSAND,,3091,3367,1,141195,127635,3,904,246332,268836
BIHAR,5,SITAMARHI,,27,BAJPATTI,,3044,3170,1,140736,125787,7,894,243149,266530
BIHAR,5,SITAMARHI,,28,SITAMARHI,,3408,2386,3,131944,114083,11,865,220126,246038
BIHAR,5,SITAMARHI,,29,RUNNISAIDPUR,,2992,2985,1,127711,112085,5,878,208180,239803
BIHAR,4,SHEOHAR,,30,BELSAND,,2570,2155,0,116544,102444,1,879,194134,218990
BIHAR,6,MADHUBANI,,31,HARLAKHI,,4830,5267,3,125804,115874,8,921,219969,241686
BIHAR,6,MADHUBANI,,32,BENIPATTI,,4510,4071,3,134966,118877,16,881,225377,253860
BIHAR,7,JHANJHARPUR,,33,KHAJAULI,,5117,4494,3,137366,122787,14,894,233081,260183
BIHAR,7,JHANJHARPUR,,34,BABUBARHI,,3808,3377,5,137039,123397,13,900,235549,260450
BIHAR,6,MADHUBANI,,35,BISFI,,5369,6884,3,144640,133038,5,920,237694,277684
BIHAR,6,MADHUBANI,,36,MADHUBANI,,4201,4495,4,156010,137799,15,883,266666,293830
BIHAR,7,JHANJHARPUR,,37,RAJNAGAR,SC,4346,2788,2,144831,127268,11,879,238653,272110
BIHAR,7,JHANJHARPUR,,38,JHANJHARPUR,,3807,3400,1,142925,128301,5,898,241222,271231
BIHAR,7,JHANJHARPUR,,39,PHULPARAS,,4337,4076,2,147518,134290,6,910,255896,281814
BIHAR,7,JHANJHARPUR,,40,LAUKAHA,,4557,4270,1,147732,137705,4,932,259245,285443
BIHAR,8,SUPAUL,,41,NIRMALI,,2859,2936,0,127640,118361,2,927,232666,246003
BIHAR,8,SUPAUL,,42,PIPRA,,2856,2982,0,123953,115857,0,935,226735,239810
BIHAR,8,SUPAUL,,43,SUPAUL,,4019,3666,1,127942,117762,8,920,232940,245715
BIHAR,8,SUPAUL,,44,TRIVENIGANJ,SC,3750,4158,1,124123,114880,3,926,221593,239006
BIHAR,8,SUPAUL,,45,CHHATAPUR,,2875,2139,2,127575,113280,15,888,225630,240870
BIHAR,9,ARARIA,,46,NARPATGANJ,,3569,2459,-8,142968,124964,7,874,233438,267942
BIHAR,9,ARARIA,,47,RANIGANJ,SC,4401,3169,1,139696,125748,13,900,230918,265457
BIHAR,9,ARARIA,,48,FORBESGANJ,,5251,4227,1,148108,130873,6,884,241771,278986
BIHAR,9,ARARIA,,49,ARARIA,,5588,5059,-1,136921,120040,7,877,220857,256966
BIHAR,9,ARARIA,,50,JOKHIHAT,,4470,2744,0,128929,111949,5,868,210045,240884
BIHAR,9,ARARIA,,51,SIKTI,,3556,2769,2,127492,115124,4,903,218357,242620
BIHAR,10,KISHANGANJ,,52,BAHADURGANJ,,2460,3872,1,124934,111878,6,896,222839,236819
BIHAR,10,KISHANGANJ,,53,THAKURGANJ,,2633,3242,0,124110,112842,4,909,222600,236956
BIHAR,10,KISHANGANJ,,54,KISHANGANJ,,1656,3944,0,122690,119476,9,974,228431,242175
BIHAR,10,KISHANGANJ,,55,KOCHADHAMAN,,2754,3610,0,108914,97055,2,891,195553,205971
BIHAR,10,KISHANGANJ,,56,AMOUR,,7387,6694,2,140462,123153,4,877,238596,263620
BIHAR,10,KISHANGANJ,,57,BAISI,,4514,3312,3,121367,107047,9,882,206917,228423
BIHAR,12,PURNIA,,58,KASBA,,3465,2733,1,123163,113416,9,921,214589,236592
BIHAR,12,PURNIA,,59,BANMANKHI,SC,3149,2759,2,133531,121009,4,906,240285,254540
BIHAR,12,PURNIA,,60,RUPAULI,,3410,2738,0,139339,127925,6,918,248746,267245
BIHAR,12,PURNIA,,61,DHAMDAHA,,3727,3692,0,137254,127426,3,928,243115,264683
BIHAR,12,PURNIA,,62,PURNIA,,4100,2919,0,140183,124121,7,885,237046,264320
BIHAR,11,KATIHAR,,63,KATIHAR,,3084,2172,0,120014,103921,8,866,209096,224034
BIHAR,11,KATIHAR,,64,KADWA,,3596,3165,0,118637,105113,3,886,203250,223754
BIHAR,11,KATIHAR,,65,BALRAMPUR,,5133,4900,0,141033,125402,11,889,245268,266446
BIHAR,11,KATIHAR,,66,PRANPUR,,2977,2645,0,125853,113422,1,901,214584,239210
BIHAR,11,KATIHAR,,67,MANIHARI,ST,3672,3213,-12,121049,106022,7,876,203600,227078
BIHAR,11,KATIHAR,,68,BARARI,,2124,1521,-3,116480,103625,2,890,205406,220107
BIHAR,12,PURNIA,,69,KORHA,SC,2682,2081,1,115878,107264,3,926,196423,223153
BIHAR,13,MADHEPURA,,70,ALAMNAGAR,,2943,4288,1,151517,138663,5,915,270980,290187
BIHAR,13,MADHEPURA,,71,BIHARIGANJ,,2629,2967,0,140414,130416,7,929,252595,270838
BIHAR,8,SUPAUL,,72,SINGHESHWAR,SC,4836,5930,4,140854,129631,9,920,246209,270491
BIHAR,13,MADHEPURA,,73,MADHEPURA,,4941,5816,3,150015,136947,9,913,268028,286973
BIHAR,13,MADHEPURA,,74,SONBARSHA,SC,3002,3420,2,133779,123686,5,925,244203,257466
BIHAR,13,MADHEPURA,,75,SAHARSA,,3707,4362,0,166892,151159,6,906,300424,318057
BIHAR,25,KHAGARIA,,76,SIMRI BAKHTIARPUR,,2695,2714,4,144449,131455,26,910,260750,275367
BIHAR,13,MADHEPURA,,77,MAHISHI,,3212,2151,1,127910,120465,2,942,237506,248378
