Ac No,Ac Name,PC Name
46,Narpatganj,araria
47,Raniganj (SC),araria
48,Forbesganj,araria
49,Araria,araria
50,Jokihat,araria
51,Sikti,araria
192,Sandesh,arrah
193,Barhara,arrah
194,Arrah,arrah
195,Agiaon (SC),arrah
196,Tarari,arrah
197,Jagdishpur,arrah
198,Shahpur,arrah
222,Kutumba (SC),aurangabad
223,Aurangabad,aurangabad
224,Rafiganj,aurangabad
225,Gurua,aurangabad
227,Imamganj (SC),aurangabad
231,Tikari,aurangabad
157,Sultanganj,banka
159,Amarpur,banka
160,Dhauraiya (SC),banka
161,Banka,banka
162,Katoria (ST),banka
163,Belhar,banka
141,Cheria Bariarpur,begusarai
142,Bachhwara,begusarai
143,Teghra,begusarai
144,Matihani,begusarai
145,Sahebpur Kamal,begusarai
146,Begusarai,begusarai
147,Bakhri (SC),begusarai
152,Bihpur,bhagalpur
153,Gopalpur,bhagalpur
154,Pirpainti (SC),bhagalpur
155,Kahalgaon,bhagalpur
156,Bhagalpur,bhagalpur
158,Nathnagar,bhagalpur
199,Brahampur,buxar
200,Buxar,buxar
201,Dumraon,buxar
202,Rajpur (SC),buxar
210,Dinara,buxar
203,Ramgarh,buxar
79,Gaura Bauram,darbhanga
80,Benipur,darbhanga
81,Alinagar,darbhanga
82,Darbhanga Rural,darbhanga
83,Darbhanga,darbhanga
85,Bahadurpur,darbhanga
226,Sherghati,gaya
228,Barachatti (SC),gaya
229,Bodh Gaya (SC),gaya
230,Gaya Town,gaya
232,Belaganj,gaya
234,Wazirganj,gaya
99,Baikunthpur,gopalganj
100,Barauli,gopalganj
101,Gopalganj,gopalganj
102,Kuchaikote,gopalganj
103,Bhorey (SC),gopalganj
104,Hathua,gopalganj
123,Hajipur,hajipur
124,Lalganj,hajipur
126,Mahua,hajipur
127,Raja Pakar (SC),hajipur
128,Raghopur,hajipur
129,Mahnar,hajipur
216,Jahanabad,jahanabad
217,Ghosi,jahanabad
218,Makhadumapur (SC),jahanabad
214,Arwal,jahanabad
215,Kurtha,jahanabad
233,Atri,jahanabad
164,Tarapur,jamui
169,Sheikhpura,jamui
240,Sikandra (SC),jamui
241,Jamui,jamui
242,Jhajha,jamui
243,Chakai,jamui
33,Khajauli,jhanjharpur
34,Babubarhi,jhanjharpur
37,Rajnagar (SC),jhanjharpur
38,Jhanjharpur,jhanjharpur
39,Phulparas,jhanjharpur
40,Laukaha,jhanjharpur
211,Nokha,karakat
212,Dehri,karakat
213,Karakat,karakat
219,Goh,karakat
220,Obra,karakat
221,Nabinagar,karakat
63,Katihar,katihar
64,Kadwa,katihar
65,Balrampur,katihar
66,Pranpur,katihar
67,Manihari (ST),katihar
68,Barari,katihar
76,Simri Bakhtiarpur,khagaria
140,Hasanpur,khagaria
148,Alauli (SC),khagaria
149,Khagaria,khagaria
150,Beldaur,khagaria
151,Parbatta,khagaria
52,Bahadurganj,kishanganj
53,Thakurganj,kishanganj
54,Kishanganj,kishanganj
55,Kochadhaman,kishanganj
56,Amour,kishanganj
57,Baisi,kishanganj
70,Alamnagar,madhepura
71,Bihariganj,madhepura
73,Madhepura,madhepura
74,Sonbarsha (SC),madhepura
75,Saharsa,madhepura
77,Mahishi,madhepura
31,Harlakhi,madhubani
32,Benipatti,madhubani
35,Bisfi,madhubani
36,Madhubani,madhubani
86,Keoti,madhubani
87,Jale,madhubani
111,Goriakothi,maharajganj
112,Maharajganj,maharajganj
113,Ekma,maharajganj
114,Manjhi,maharajganj
115,Baniapur,maharajganj
116,Taraiya,maharajganj
165,Munger,munger
166,Jamalpur,munger
167,Suryagarha,munger
168,Lakhisarai,munger
178,Mokama,munger
179,Barh,munger
88,Gaighat,muzaffarpur
89,Aurai,muzaffarpur
91,Bochaha (SC),muzaffarpur
92,Sakra (SC),muzaffarpur
93,Kurhani,muzaffarpur
94,Muzaffarpur,muzaffarpur
171,Asthawan,nalanda
172,Biharsharif,nalanda
173,Rajgir (SC),nalanda
174,Islampur,nalanda
175,Hilsa,nalanda
176,Nalanda,nalanda
177,Harnaut,nalanda
170,Barbigha,nawada
235,Rajauli (SC),nawada
236,Hisua,nawada
237,Nawada,nawada
238,Gobindpur,nawada
239,Warsaliganj,nawada
6,Nautan,paschim champaran
7,Chanpatia,paschim champaran
8,Bettiah,paschim champaran
10,Raxaul,paschim champaran
11,Sugauli,paschim champaran
12,Narkatia,paschim champaran
186,Danapur,pataliputra
187,Maner,pataliputra
188,Phulwari (SC),pataliputra
189,Masaurhi (SC),pataliputra
190,Paliganj,pataliputra
191,Bikram,pataliputra
180,Bakhtiarpur,Patna Sahib
181,Digha,Patna Sahib
182,Bankipur,Patna Sahib
183,Kumhrar,Patna Sahib
184,Patna Sahib,Patna Sahib
185,Fatuha,Patna Sahib
58,Kasba,purnia
59,Banmankhi (SC),purnia
60,Rupauli,purnia
61,Dhamdaha,purnia
62,Purnia,purnia
69,Korha (SC),purnia
13,Harsidhi (SC),Purvi Champaran
14,Govindganj,Purvi Champaran
15,Kesaria,Purvi Champaran
16,Kalyanpur,Purvi Champaran
17,Pipra,Purvi Champaran
19,Motihari,Purvi Champaran
78,Kusheshwar Asthan (SC),samastipur
84,Hayaghat,samastipur
131,Kalyanpur (SC),samastipur
132,Warisnagar,samastipur
133,Samastipur,samastipur
139,Rosera (SC),samastipur
117,Marhaura,saran
118,Chapra,saran
119,Garkha (SC),saran
120,Amnour,saran
121,Parsa,saran
122,Sonepur,saran
204,Mohania (SC),sasaram
205,Bhabua,sasaram
206,Chainpur,sasaram
207,Chenari (SC),sasaram
208,Sasaram,sasaram
209,Kargahar,sasaram
18,Madhuban,sheohar
20,Chiraia,sheohar
21,Dhaka,sheohar
22,Sheohar,sheohar
23,Riga,sheohar
30,Belsand,sheohar
24,Bathnaha (SC),sitamarhi
25,Parihar,sitamarhi
26,Sursand,sitamarhi
27,Bajpatti,sitamarhi
28,Sitamarhi,sitamarhi
29,Runnisaidpur,sitamarhi
74,Sonbarsha (SC),sitamarhi
105,Siwan,siwan
106,Ziradei,siwan
107,Darauli (SC),siwan
108,Raghunathpur,siwan
109,Daraundha,siwan
110,Barharia,siwan
41,Nirmali,supaul
42,Pipra,supaul
43,Supaul,supaul
44,Triveniganj (SC),supaul
45,Chhatapur,supaul
130,Patepur (SC),ujiarpur
134,Ujiarpur,ujiarpur
135,Morwa,ujiarpur
136,Sarairanjan,ujiarpur
137,Mohiuddinnagar,ujiarpur
138,Bibhutipur,ujiarpur
90,Minapur,vaishali
95,Kanti,vaishali
96,Baruraj,vaishali
97,Paroo,vaishali
98,Sahebganj,vaishali
125,Vaishali,vaishali
1,Valmiki Nagar,Valmiki Nagar
2,Ramnagar (SC),Valmiki Nagar
3,Narkatiaganj,Valmiki Nagar
4,Bagaha,Valmiki Nagar
5,Lauriya,Valmiki Nagar
9,Sikta,Valmiki Nagar
