OfficeName ( BO/SO/HO),Pincode,Sub-distname,DistrictName,StateName
Gardanibagh S.O,800001,Phulwari,PATNA,BIHAR
Navshakti S.O,800001,Phulwari,PATNA,BIHAR
Patna Collectoriate S.O,800001,Phulwari,PATNA,BIHAR
Patna G.P.O.,800001,Phulwari,PATNA,BIHAR
R.Block S.O,800001,Phulwari,PATNA,BIHAR
B.C. Road S.O,800001,Phulwari,PATNA,BIHAR
L.I.C S.O,800001,Phulwari,PATNA,BIHAR
B.P.S.C. S.O,800001,Phulwari,PATNA,BIHAR
Chiraiyatand S.O,800001,Phulwari,PATNA,BIHAR
Darul Mallick S.O,800001,Phulwari,PATNA,BIHAR
Hotel Republic S.O,800001,Phulwari,PATNA,BIHAR
Kidwaipuri S.O,800001,Phulwari,PATNA,BIHAR
Punaichak S.O,800001,Phulwari,PATNA,BIHAR
Sri Krishnapuri S.O,800001,Phulwari,PATNA,BIHAR
Indian Nation S.O,800001,Phulwari,PATNA,BIHAR
Jamal Road S.O,800001,Phulwari,PATNA,BIHAR
Mithapur S.O (Patna),800001,Phulwari,PATNA,BIHAR
New Jakkanpur S.O,800001,Phulwari,PATNA,BIHAR
Postal Park S.O,800001,Phulwari,PATNA,BIHAR
Rajapur Mainpura S.O,800001,Phulwari,PATNA,BIHAR
Bank Road S.O (Patna),800001,Phulwari,PATNA,BIHAR
C.R. Building S.O,800001,Phulwari,PATNA,BIHAR
Beur B.O,800002,Phulwari,PATNA,BIHAR
Anisabad S.O,800002,Phulwari,PATNA,BIHAR
Beur B.O,800002,Phulwari,PATNA,BIHAR
Pakri B.O,800002,Phulwari,PATNA,BIHAR
Kadamkuan S.O,800003,Phulwari,PATNA,BIHAR
J.C.Road S.O,800004,Phulwari,PATNA,BIHAR
Machhuatoli S.O,800004,Sampatchak,PATNA,BIHAR
Naya Tola S.O (Patna),800004,Sampatchak,PATNA,BIHAR
P.M.C.H S.O,800004,Sampatchak,PATNA,BIHAR
Bankipore H.O,800004,Sampatchak,PATNA,BIHAR
Patna University S.O,800005,Sampatchak,PATNA,BIHAR
M.Y.Sandalpur S.O,800006,Sampatchak,PATNA,BIHAR
Mahendru S.O,800006,Sampatchak,PATNA,BIHAR
Bairia B.O,800007,Sampatchak,PATNA,BIHAR
Nanmuhia S.O,800007,Sampatchak,PATNA,BIHAR
Dental College S.O,800007,Sampatchak,PATNA,BIHAR
Bairia B.O,800007,Sampatchak,PATNA,BIHAR
Nadghat B.O,800007,Sampatchak,PATNA,BIHAR
Nadghat B.O,800007,Sampatchak,PATNA,BIHAR
Gulzarbagh S.O,800007,Sampatchak,PATNA,BIHAR
Sonagopalpur B.O,800007,Sampatchak,PATNA,BIHAR
Bairia B.O,800007,Sampatchak,PATNA,BIHAR
Bairia B.O,800007,Sampatchak,PATNA,BIHAR
Bairia B.O,800007,Sampatchak,PATNA,BIHAR
Nadghat B.O,800007,Sampatchak,PATNA,BIHAR
Patna City S.O,800008,Patna Rural,PATNA,BIHAR
Pachhim Darwaza S.O,800008,Sampatchak,PATNA,BIHAR
Patna City S.O,800008,Patna Rural,PATNA,BIHAR
Chowk Shikarpur S.O,800008,Sampatchak,PATNA,BIHAR
Patna City S.O,800008,Patna Rural,PATNA,BIHAR
Katra Bazar S.O (Patna),800008,Sampatchak,PATNA,BIHAR
Marufganj S.O,800008,Sampatchak,PATNA,BIHAR
Patna City S.O,800008,Sampatchak,PATNA,BIHAR
Sri Madhoji Mills S.O,800008,Sampatchak,PATNA,BIHAR
Machharhatta S.O,800008,Sampatchak,PATNA,BIHAR
Mahavir Asthan S.O,800008,Sampatchak,PATNA,BIHAR
Diwan Mohalla S.O,800008,Sampatchak,PATNA,BIHAR
Maranchi B.O,800009,Patna Rural,PATNA,BIHAR
Begampur S.O (Patna),800009,Patna Rural,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Begampur S.O (Patna),800009,Patna Rural,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Sabalpur B.O,800009,Patna Rural,PATNA,BIHAR
Begampur S.O (Patna),800009,Sampatchak,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Begampur S.O (Patna),800009,Patna Rural,PATNA,BIHAR
Maranchi B.O,800009,Patna Rural,PATNA,BIHAR
Begampur S.O (Patna),800009,Patna Rural,PATNA,BIHAR
Sabalpur B.O,800009,Patna Rural,PATNA,BIHAR
Kothia B.O,800009,Sampatchak,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Begampur S.O (Patna),800009,Patna Rural,PATNA,BIHAR
Begampur S.O (Patna),800009,Patna Rural,PATNA,BIHAR
Kothia B.O,800009,Patna Rural,PATNA,BIHAR
Punadih B.O,800009,Patna Rural,PATNA,BIHAR
Sadaquat Ashram S.O,800010,Phulwari,PATNA,BIHAR
Makhdumpur Digha S.O,800011,Dinapur-Cum-Khagaul,PATNA,BIHAR
Dighaghat S.O,800011,Dinapur-Cum-Khagaul,PATNA,BIHAR
Digha S.O (Patna),800012,Dinapur-Cum-Khagaul,PATNA,BIHAR
Panapur B.O,800012,Dinapur-Cum-Khagaul,PATNA,BIHAR
Naya Panapur B.O,800012,Phulwari,PATNA,BIHAR
Akilpur B.O,800012,Dinapur-Cum-Khagaul,PATNA,BIHAR
Akilpur B.O,800012,Dinapur-Cum-Khagaul,PATNA,BIHAR
Digha S.O (Patna),800012,Patna Rural,PATNA,BIHAR
Digha S.O (Patna),800012,Patna Rural,PATNA,BIHAR
Patliputra S.O,800013,Phulwari,PATNA,BIHAR
Patna Aerodrome S.O,800014,Phulwari,PATNA,BIHAR
B.V. College S.O,800014,Dinapur-Cum-Khagaul,PATNA,BIHAR
B.V. College S.O,800014,Phulwari,PATNA,BIHAR
Sheikhpura S.O (Patna),800014,Phulwari,PATNA,BIHAR
Patna Sectt. S.O,800015,Phulwari,PATNA,BIHAR
Rajendra Nagar S.O (Patna),800016,Sampatchak,PATNA,BIHAR
B.S.E. Board S.O,800017,Phulwari,PATNA,BIHAR
Bataganj S.O,800018,Dinapur-Cum-Khagaul,PATNA,BIHAR
Bataganj S.O,800018,Dinapur-Cum-Khagaul,PATNA,BIHAR
C.D.A S.O,800019,Phulwari,PATNA,BIHAR
Lohia Nagar S.O,800020,Sampatchak,PATNA,BIHAR
Chitragupta Nagar S.O,800020,Sampatchak,PATNA,BIHAR
R.M.S. Colony S.O,800020,Sampatchak,PATNA,BIHAR
Dhelwan B.O,800020,Sampatchak,PATNA,BIHAR
K.Sector S.O,800020,Sampatchak,PATNA,BIHAR
Ashok Nagar S.O (Patna),800020,Sampatchak,PATNA,BIHAR
Dhelwan B.O,800020,Sampatchak,PATNA,BIHAR
West Lohianagar S.O,800020,Sampatchak,PATNA,BIHAR
Vidyut Parisad S.O,800021,Phulwari,PATNA,BIHAR
B.G. Camp/raj Bhawan S.O,800022,Phulwari,PATNA,BIHAR
L.B.S Nagar S.O,800023,Phulwari,PATNA,BIHAR
Keshari Nagar S.O,800024,Phulwari,PATNA,BIHAR
Ashiananagar S.O,800025,Phulwari,PATNA,BIHAR
B.H.Colony S.O,800026,Sampatchak,PATNA,BIHAR
Kumhrar S.O,800026,Sampatchak,PATNA,BIHAR
New Jaganpura S.O,800027,Sampatchak,PATNA,BIHAR
Patna High Court S.O,800028,Phulwari,PATNA,BIHAR
Pahari B.O,800030,Sampatchak,PATNA,BIHAR
Pahari B.O,800030,Phulwari,PATNA,BIHAR
M.Kachhuara B.O,800030,Sampatchak,PATNA,BIHAR
